repr,algo,k,eps,min_samples,silhouette,davies_bouldin,ari,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
hybrid_spec_mmvae,dbscan,,0.7,20.0,0.006785768084228039,5.179327603734231,0.016456580453722287,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.9,5.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.9,10.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.9,20.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,1.1,5.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,1.1,10.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,1.1,20.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,1.3,5.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,1.3,10.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,1.3,20.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,kmeans6,6.0,,,0.0590585358440876,3.1285006043747043,0.10619412444194735,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,kmeans8,8.0,,,0.06067482382059097,2.9047472291157934,0.07909737946289915,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
lyrics_baseline,agglo6,6.0,,,-0.03903839737176895,4.957870157154626,0.01874718056936696,,,,,,,,,64,256,256,20000
lyrics_baseline,agglo8,8.0,,,-0.03447588160634041,4.421785177236095,0.04574948025715749,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.2,5.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.2,10.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.2,20.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.3,5.0,0.06225168704986572,1.0582323626179284,0.0235560973640652,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.3,10.0,0.06514815241098404,1.1172046067660595,0.013703261323427432,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.3,20.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.4,5.0,0.06704389303922653,1.136368400713035,0.051873309322608085,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.4,10.0,0.06456565111875534,1.2795319163739576,0.02728202411325808,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.4,20.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.5,5.0,-0.08388335257768631,1.4668484731552942,0.06060211910851071,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.5,10.0,0.06740683317184448,1.285529145637901,0.04584098367052052,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.5,20.0,0.06672505289316177,1.2943505890559401,0.02971997691792872,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.7,5.0,-0.04958396032452583,2.2665277616602726,0.029355673340942808,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.7,10.0,-0.05601560324430466,2.831073502642254,0.028026153179169448,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.7,20.0,-0.058749791234731674,3.066378987453566,0.01987428419663163,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.9,5.0,0.04742308706045151,3.5286112771660734,0.10206940072913262,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.9,10.0,0.04457728937268257,6.182046272446628,0.0857841528479928,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,0.9,20.0,0.044045042246580124,5.833992974670813,0.07897844381273321,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,1.1,5.0,0.11368449032306671,1.5491155924717293,0.006989767439764262,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,1.1,10.0,0.12610401213169098,2.214719952266867,0.007514389652975301,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,1.1,20.0,0.12768416106700897,2.386539680470878,0.008779488464568821,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,1.3,5.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,1.3,10.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,dbscan,,1.3,20.0,,,0.0,,,,,,,,,64,256,256,20000
lyrics_baseline,kmeans6,6.0,,,-0.01078023761510849,5.097254841359056,0.012136569101720703,,,,,,,,,64,256,256,20000
lyrics_baseline,kmeans8,8.0,,,-0.008940503001213074,5.179228470772449,0.02792392956475609,,,,,,,,,64,256,256,20000
