task,stage,repr,algo,k,eps,min_samples,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,purity,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
medium,final,hybrid_spec_mmvae,dbscan,,0.4,5.0,-0.19266335666179657,1.287333312732326,9.132063577756016,0.03508761808308217,0.08632901820990437,0.7041597337770382,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.4,5.0,-0.06362501531839371,3.6108603940390442,59.84585445383414,-0.008558325731714124,0.06900496362374779,0.6951747088186356,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.4,5.0,0.06704389303922653,1.136368400713035,12.477073407579244,0.051873309322608085,0.07652071874730741,0.7021630615640599,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.4,5.0,-0.291902095079422,1.5890906005844423,56.044447584613835,0.2517597759167261,0.1509774609687521,0.7201331114808652,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.4,10.0,-0.03373910114169121,1.1976789245103023,14.25855324200858,0.025077057340935616,0.03718237570239822,0.6965058236272879,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.4,10.0,0.07835984230041504,1.9128571651286566,526.2998793033255,0.05243814007484168,0.1307598405975715,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.4,10.0,0.06456565111875534,1.2795319163739576,24.520088845567123,0.02728202411325808,0.040082139462599246,0.697171381031614,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.4,10.0,-0.22586533427238464,1.4555566219457923,98.40859853302227,0.22916210754312297,0.12420396721722587,0.7141430948419302,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.4,20.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.4,20.0,0.0560951791703701,1.837732264554254,498.72946338712427,0.0726228230610252,0.12804003535899805,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.4,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
